msurDt,so2Value,coValue,msrstnName,pm10Value,no2Value,o3Value,pm25Value,day_type
2026-03-01,0.002,0.6,진천동,27,0.009,0.04,13,주말
2026-03-02,0.002,0.6,진천동,15,0.006,0.043,8,평일
2026-03-03,0.002,0.7,진천동,10,0.014,0.032,6,평일
2026-03-04,0.002,0.6,진천동,17,0.015,0.034,8,평일
2026-03-05,0.003,0.7,진천동,34,0.022,0.024,18,평일
2026-03-06,0.002,0.7,진천동,28,0.009,0.044,17,평일
2026-03-07,0.002,0.6,진천동,31,0.008,0.049,19,주말
2026-03-08,0.002,0.6,진천동,22,0.012,0.043,14,주말
2026-03-09,0.003,0.7,진천동,44,0.018,0.04,30,평일
2026-03-10,0.003,0.9,진천동,78,0.027,0.023,57,평일
2026-03-11,0.002,0.6,진천동,44,0.022,0.045,30,평일
2026-03-12,0.002,0.6,진천동,41,0.023,0.035,26,평일
2026-03-13,0.002,0.5,진천동,20,0.014,0.039,12,평일
2026-03-14,0.002,0.5,진천동,25,0.019,0.034,16,주말
2026-03-15,0.002,0.6,진천동,40,0.018,0.042,29,주말
